Naptan_Atco,Stop_Name
490015290S,COOMBE ROAD_R
490015290N,COOMBE ROAD_N
490005575N,BIRDHURST GARDENS_H
490004026B,BIRDHURST ROAD / SOUTH CROYDON STATION #_B
490001258A,BIRDHURST ROAD / SOUTH CROYDON STATION #_A
490015396NK,NEWINGTON GREEN_NK
490004802S2,CARLTON ROAD
490004802N,TWIN BRIDGES BUSINESS PARK
490004802S1,CARLTON ROAD
490005794E,CROHAM ROAD_E
490010224S3,ALBION ROAD_NR
490006466E16,ELECTRIC HOUSE_WY
490014614E15,WHITGIFT CENTRE_WL
490014614E11,WHITGIFT CENTRE_WJ
490011275C,PURLEY WAY / WADDON STATION #_WQ
490011275D,PURLEY WAY / WADDON STATION #_ES
490019676NB,GREEN LANES_NB
490013603C,PURLEY OAKS STATION #_GM
490013603N,PURLEY OAKS STATION #_GB
490011259G,PURLEY / DOWNLANDS PRECINCT_G
490005236N,CHRISTCHURCH ROAD / PURLEY HOSPITAL_E
490005574V,COOMBE ROAD_V
490005574S,COOMBE ROAD_W
490009224Z,LIVERPOOL ROAD_SZ
490010864N,PASTEUR GARDENS_NB
490010864S,PASTEUR GARDENS_SJ
490006564N,EMPIRE PARADE
490006564S,EMPIRE PARADE_SK
490010323H,CHURCH HILL ROAD_H
490009224Y,LIVERPOOL ROAD_SV
490010323J,CHURCH HILL ROAD_J
490010753W,PARK AVENUE_BJ
490003236W,ALLIANCE ROAD_Q
490012359S,SOUTHWOOD AVENUE_U
490007797N,HARINGEY CIVIC CENTRE_BP
490007797S,HARINGEY CIVIC CENTRE_BY
490004746S,CANNING CRESCENT_BW
490000052SB,CLAPHAM SOUTH STATION <>_SB
490003925S,BERKSHIRE GARDENS_BT
490003875N,BERKSHIRE GARDENS_BS
490010333W,TOTTENHALL ROAD_W
490004486J,BROOMFIELD LANE_J
490004486K,BROOMFIELD LANE_K
490000052SA,CLAPHAM SOUTH STATION <>_SA
490010736G,PALMERS GREEN / THE TRIANGLE_G
490009248C,LODGE DRIVE_C
490006974Z,FOX LANE_Z
