Naptan_Atco,Stop_Name
490005466S,COLDHARBOUR ROAD_SF
490014797N,WISE LANE_M
490014791W,WISE LANE
490005752S,CRESSIDA ROAD_Z
490005752N,CRESSIDA ROAD_Y
490004295Z,BRENT GREEN_Z
490000181B,PINNER STATION <>_B
490008598E,LALEHAM ROAD_C
490008598W,LALEHAM ROAD_A
490015457E,BROWNHILL ROAD / ST FILLANS ROAD_D
490015457W,BROWNHILL ROAD / ST FILLANS ROAD_B
490013717E,TORRIDON ROAD_G
490013717W,TORRIDON ROAD_M
490010762E,PARKCROFT ROAD_J
490010762W,PARKCROFT ROAD_K
490003599E,BARING ROAD_V
490003599W,BARING ROAD_T
490014920S,WOODYATES ROAD_L
490014920N,WOODYATES ROAD_K
490003283S,ALWOLD CRESCENT_WN
490011285R,PUTNEY HILL / GREEN MAN_R
490008354N,HORN PARK LANE_EL
490012142N,SIDCUP ROAD_EM
490012142W,SIDCUP ROAD_WM
490015018N,WESTHORNE AVENUE / ELTHAM ROAD_EN
490005248S,CHURCHBURY ROAD_EP
490005248N,CHURCHBURY ROAD_WH
490010238N2,NEWMARKET GREEN
490010238N1,NEWMARKET GREEN
490008779N,KINGSGROUND / ELTHAM PALACE ROAD
490011985BC,SELFRIDGES_BC
490012051E,CHURCH ROAD
490008779S,KINGSGROUND / ELTHAM PALACE ROAD
490006542N,KINGSGROUND / ELTHAM HILL_V
490006542S,KINGSGROUND / ELTHAM HILL_U
490012279S3,WESTMOUNT ROAD / ELTHAM HIGH STREET_X
490006544SE,ELTHAM PARK GARDENS
490006544N,ELTHAM PARK GARDENS
490006545S,ELTHAM PARK METHODIST CHURCH
490006545N,ELTHAM PARK METHODIST CHURCH
490012050L,ETON STREET_L
490011618N,WESTMOUNT ROAD / ROCHESTER WAY
490007228W,ROCHESTER WAY / GLENESK ROAD_V
490007228E,ROCHESTER WAY / GLENESK ROAD_A
490005205N,CENTRE COMMON ROAD / WAR MEMORIAL_N
490005205P,CENTRE COMMON ROAD / WAR MEMORIAL_P
490011196L,CHISLEHURST / ASHFIELD LANE_L
490010817K,CHISLEHURST / ASHFIELD LANE_K
490005204J,CHISLEHURST SAINSBURY'S_A
490003139H,ALBANY ROAD_D
490013496N,INGLEBY WAY_B
490013496S,INGLEBY WAY_C
490010478W,OAKDENE AVENUE_P
490010478E,OAKDENE AVENUE_E
490006521N,ELMSTEAD LANE_Q
490006521S,ELMSTEAD LANE_D
490011447N,MOTTINGHAM ROAD / RAVENSWORTH ROAD_MJ
490011447S,MOTTINGHAM ROAD / RAVENSWORTH ROAD_MH
490010064N,MOTTINGHAM / PRINCE OF WALES_MK
490010064S,MOTTINGHAM / PRINCE OF WALES_MF
490001237F,RAYNES PARK STATION #_P
490004105S,BLENHEIM ROAD
490001222D,PALMERS GREEN STATION #_D
490004105N,BLENHEIM ROAD
490007500S,GREENWAY_GA
490007500N,GREENWAY_GS
490012643S,RAYNES PARK PLAYING FIELDS_GB
490014521N,WESTWAY_GQ
490004754S,ST JOHN FISHER SCHOOL_GC
490004754N,ST JOHN FISHER SCHOOL_GP
490009424W,TUDOR DRIVE_HM
490013262S,QUEEN MARY AVENUE_GD
490005317E,CHURSTON DRIVE_HF
490005317W,CHURSTON DRIVE_HL
490008212E,HILLCROSS AVENUE_HG
490008212W,HILLCROSS AVENUE_HK
490009974E,MONKLEIGH ROAD_HH
490009974N,MONKLEIGH ROAD_HJ
490003447E,ASHRIDGE WAY_A
490003447W,ASHRIDGE WAY_R
490009731E,MAYCROSS AVENUE_B
490009731W,MAYCROSS AVENUE_Q
490009187N,LINKS AVENUE_C
490004793KK,CARLTON AVENUE_KK
490009187S,LINKS AVENUE_P
490010021E,MORDEN HALL_E
490013328E,THE DRIVE_E
490013328W,THE DRIVE_H
490009928W,MILNER ROAD_G
490009928E,MILNER ROAD_F
490014182W,BISHOPSFORD ROAD
490014182N,WANDLE ROAD
490000124II,KENTON STATION <> #_II
490002058Y,MITCHAM TRAM STOP >T<_Y
490002058Z,MITCHAM TRAM STOP >T<_Z
490007153W,GEDGE COURT_W
490009949L,UPPER GREEN EAST_L
490013650E,THREE KINGS POND_T
490004911E1,CEDARS AVENUE
490015306W,PENTLANDS CLOSE
490013150E,TAMWORTH PARK
490013150W,TAMWORTH PARK
490001148B,HENDON STATION #_HE
490009329E,LONGLEIGH LANE_A
490009329W,LONGLEIGH LANE_K
490008867W,BOSTALL HILL / BRAMPTON ROAD_J
490004246E,WOOLWICH ROAD / BRAMPTON ROAD_B
490010253E,NEW ROAD_C
490010253W,NEW ROAD_H
490013583E,THE VIEW
490013583W,THE VIEW_NONE
490013342W,THE EARDLEY ARMS
490010469E,ERITH ROAD / NUXLEY ROAD_Q
490013473S,ALFORD ROAD
490013473N,ALFORD ROAD
490006658E,EUROPA TRADING ESTATE
490006658W,EUROPA TRADING ESTATE
490003985B,FRASER ROAD / BEXLEY ROAD_B
490010058N,MOTSPUR PARK_ML
490004091N,BLAKES LANE_MM
490012340N,LYTTON GROVE_N
490009494S,LYTTON GROVE_P
490013662N1,TIBBET'S CORNER_PK
490008489S,INNER PARK ROAD_PE
490011341N,QUEENSMERE ROAD
490011341S,QUEENSMERE ROAD
490010835N,PARKSIDE HOSPITAL
490010835S,PARKSIDE HOSPITAL
490004682N,CALONNE ROAD_T
490004682S,CALONNE ROAD_A
490010827S,PARKSIDE AVENUE_B
490010827N,PARKSIDE AVENUE_S
490014742Y,WIMBLEDON THEATRE_Y
490014742X,WIMBLEDON THEATRE_X
490013807W,THE POLKA THEATRE_SW
490010020D,KENLEY ROAD_D
490010502V,OAKS AVENUE_V
490010502W,OAKS AVENUE_W
490012589N,STAPLES CORNER_SJ
490006706C9,FAIRFIELD HALLS_KD
490008257S,HINTON ROAD_V
490014592N,WHITEHALL SCHOOL_J
490014592S,WHITEHALL SCHOOL_U
490006802S,FERNDALE CRESCENT_BV
490006802N,FERNDALE CRESCENT_BT
490003887S,BENBOW WAYE_Q
490003887W,BENBOW WAYE_F
490003598S,BARRHILL ROAD_S
490010708S,PACKET BOAT LANE_S
490010708N,PACKET BOAT LANE_D
490010986S,PHILPOTS BRIDGE_T
490010011N,MOORFIELD ROAD_C
490006729N,FALLING LANE_B
490006815H,FERRERS AVENUE_H
490006815G,FERRERS AVENUE_G
490005291S,CHURCH ROAD
490005291K,CHURCH ROAD_K
490014424S,PORTERS WAY
490014424N,PORTERS WAY
490009727S,MAXWELL ROAD
490009727N,MAXWELL ROAD
490005095E,CHERRY LANE SCHOOL
490005095W,CHERRY LANE SCHOOL
490007821S,HARMONDSWORTH LANE
490007821N,HARMONDSWORTH LANE
490012175S,SIPSON CLOSE
490012175N,SIPSON CLOSE
490012177S,SIPSON WAY_BH
490012177W,SIPSON WAY_BE
490006683N,DOGHURST DRIVE_BD
490012760E,ST LEONARD'S AVENUE_K
490006183H,DOWNS ROAD_N
490006064S,DEVON CLOSE_F
490010843S,PARK VIEW ROAD_K
490009702W,STAINES ROAD / MARTINDALE ROAD_N
490009702E,MARTINDALE ROAD_D
490010699W,OXLEAS MEADOW_U
490010699E,OXLEAS MEADOW_B
490014585M,WHITEHALL / TRAFALGAR SQUARE_M
490011515Z,REGENT STREET / ST JAMES'S_Z
490015449E,PARCHMORE ROAD
490010744N,PARCHMORE METHODIST CHURCH
490010744S,PARCHMORE METHODIST CHURCH
490011901N2,SANDFIELD ROAD
490011901S2,SANDFIELD ROAD
490010790N,PARK LAWN
490010790S,PARK LAWN
490005647N,COUNTY ROAD
490005647S,COUNTY ROAD
490007474N,GREEN LANE POST OFFICE
490008650S,KENSINGTON AVENUE
490008650N,KENSINGTON AVENUE
490010300S,NORBURY HILL
490010300N,NORBURY HILL
490005663S,COURTLAND AVENUE_R
490005663W,COURTLAND AVENUE_T
490000144K,MARBLE ARCH STATION <>_K
490008080P,HERMITAGE LANE_P
490008080M,HERMITAGE LANE_M
490004376W,BROADOAKS WAY_J
490004376N,BROADOAKS WAY_F
490009774N,THE AVENUE_C
490013498S,THE PICKHURST_M
490013498N,THE PICKHURST_B
490007949S2,HAYES HILL ROAD_E
490007949S1,HAYES HILL ROAD_G
490007941D,HAYES / STATION APPROACH_D
490007941A,HAYES / STATION APPROACH_A
490005545S,TIEPIGS LANE_K
490005545N,TIEPIGS LANE_D
490003099W,ADDINGTON ROAD / GLEBE WAY_L
490003099N,ADDINGTON ROAD / GLEBE WAY_C
490005543E,CONEY HALL / KINGSWAY_S
490005543W,CONEY HALL PARADE_T
490001075P,CRICKLEWOOD STATION #_CH
490001075Q,CRICKLEWOOD STATION #_CL
490011454J,RAYNES PARK LIBRARY_R
490010778A,PARKHURST ROAD_A
490003988B,BEXLEY WAR MEMORIAL_B
490006747S,FARM LANE_T
490006747N,FARM LANE_V
490011752S,ROYAL BLACKHEATH GOLF CLUB
490011752N,ROYAL BLACKHEATH GOLF CLUB
490001200A,MOTTINGHAM STATION #_MN
490014362W,WELLINGTON ROAD SOUTH_M
490010393S,NORTHOVER_F
490006538E,ELTHAM COLLEGE
490013403W,MARVELS LANE_Z
490013403E,MARVELS LANE / CHINBROOK ROAD_A
490007565A,GROVE PARK BUS STATION_A
490001124E,GROVE PARK STATION #_L
490014009N,VANOC GARDENS_G
490014581N,WHITEFOOT LANE_J
490014581S,WHITEFOOT LANE_P
490008258W,HITHER GREEN CEMETERY
490008258S,HITHER GREEN CEMETERY
490003369N,ARDOCH ROAD
490007967S,ARDOCH ROAD
490006154N,DOWANHILL ROAD_U
490006154S2,DOWANHILL ROAD_T
490012534N,TORRIDON ROAD / ST ANDREWS CHURCH_R
490012684W1,SANDHURST ROAD / ST FILLANS ROAD_X
490012684E1,SANGLEY ROAD / ST FILLANS ROAD_J
490003812W,BEECHFIELD ROAD_W
490003812E,BEECHFIELD ROAD_T
40004402057B,ST IGNATIUS CHURCH
40004402023A,STAIN HILL WEST RESERVOIR
40004402023B,KENTON AVENUE
490000053A,COCKFOSTERS STATION <>_A
490000053B,COCKFOSTERS STATION <>_B
490013790N,FRESTON GARDENS_C
490013790D,FRESTON GARDENS_D
490004243S,BRAMLEY ROAD_J
490004243N,BRAMLEY ROAD_K
490004869N,GREEN ROAD_U
490004869S,GREEN ROAD_P
490005040N,AVENUE ROAD_S
490005040S,AVENUE ROAD_R
490012300M,SOUTHGATE POLICE STATION_M
490012299A,SOUTHGATE COLLEGE_A
490012299S,SOUTHGATE COLLEGE_S
490009773N,MEADWAY_V
490009773S,MEADWAY_A
490014999N,YE OLDE CHERRY TREE_U
490008392G,HOUNSLOW BUS STATION_G
490014999S,YE OLDE CHERRY TREE_B
490006908S,FORESTDALE_C
490011978N,SELBORNE ROAD_T
490006908N1,FORESTDALE_N
490004488W,BROOMFIELD PARK_M
490004488E,BROOMFIELD PARK_D
490001222E,PALMERS GREEN STATION #_E
490012775J,ST MARK'S CHURCH_J
490007953N,HAYES ROAD / HAYES LANE_T
490007953S,HAYES ROAD / HAYES LANE_V
490010307S,HAYES LANE / NORMAN PARK_W
490010307N,HAYES LANE / NORMAN PARK_S
490005448S,CLUB GARDENS ROAD_M
490005448N,CLUB GARDENS ROAD_L
490006866S,FIVE ELMS ROAD_S
490005859S,BASTON ROAD / CROYDON ROAD_KA
490005859N,BASTON ROAD / CROYDON ROAD_KM
490008678S,KESTON / THE FOX_KB
490008678N,KESTON / THE FOX
490008684N2,KESTON VILLAGE HALL_KK
490008684N1,KESTON VILLAGE HALL_KC
490008000S2,HEATHFIELD ROAD / KESTON COMMON_KD
490008000N2,WESTERHAM ROAD / HEATHFIELD ROAD_KJ
490008316S,HOLWOOD FARM
490008316N,HOLWOOD FARM
490006764W,FARTHING STREET
490006764S,FARTHING STREET
490007951W,HAYES LIBRARY_W
490007951E,HAYES LIBRARY_J
490009032E,LAYHAMS ROAD_B
490009032W,LAYHAMS ROAD_M
490005656N,COURTFIELD RISE_N
490005656S,COURTFIELD RISE_A
490014530N,WEST WICKHAM PLAYING FIELDS
490014530S,WEST WICKHAM PLAYING FIELDS
490001323B,WESTCOMBE PARK STATION #_B
490001323A,WESTCOMBE PARK STATION #_A
490008854S,KIRKSIDE ROAD
490008854N,KIRKSIDE ROAD
490012109N,STRATHEDEN ROAD / SHOOTERS HILL ROAD_N
490012711S,ST GERMANS PLACE_F
490010003K,MONTPELIER ROW_K
490013128E,SYDENHAM HIGH SCHOOL_W
490013128W,SYDENHAM HIGH SCHOOL_X
490004998W,CHARLEVILLE CIRCUS_Y
490004999E,CHARLEVILLE CIRCUS_V
490005872W,CRYSTAL PALACE PARK ROAD_Z
490005872E,CRYSTAL PALACE PARK ROAD_U
490011233S,PRIORY PARK_D
490011233N,PRIORY PARK_R
490005494N1,CRYSTAL PALACE PARADE / COLLEGE ROAD_V
490015455E,ASKEW ROAD_SB
490009599N,MANOR WAY_P
490007747S,HANDEN ROAD_E
490009847N,MICHELDEVER ROAD_G
490006510W,ELM LANE_X
490006510E,ELM LANE_S
490004846S,CASTLANDS ROAD_Y
490004846N,CASTLANDS ROAD_Z
490008404S,HOUSTON ROAD
490008404N,HOUSTON ROAD
490013467N,OAK HILL_Q
490009830E,MERTON ABBEY_E
490013100J,SWAN & SUGAR LOAF_J
490012407N,SPRING LANE_WH
490014896W,WOODSIDE GREEN_WE
490014896E,WOODSIDE GREEN_WD
490002017A,BLACKHORSE LANE_WB
490002017B,BLACKHORSE LANE_WA
490007305E,GORDON CRESCENT
490007305W,GORDON CRESCENT
490009405W,LOWER ADDISCOMBE ROAD
490006975NB,FOXLEY HILL ROAD_Q
490009074S,LEGION HOUSE_B
490009074N,LEGION HOUSE_P
490006064N,DEVON CLOSE_K
40004410118B,MAPLE ROAD
40004410118A,MAPLE ROAD
40004410114B,WHYTELEAFE SOUTH STATION #_A
490001206A,NEW MALDEN STATION #_A
40004410114A,WHYTELEAFE SOUTH STATION #_B
40004410111B,HIGHFIELD ROAD
40004410111A,HIGHFIELD ROAD
40004410109B,FARNINGHAM ROAD
40004410109A,FARNINGHAM ROAD
490009285E,ST HELEN'S ROAD_E
490010299C,NORBURY CRESCENT / LONDON ROAD_C
490012715N,NORBURY CRESCENT / ST HELEN'S ROAD
490012715S2,NORBURY CRESCENT / ST HELEN'S ROAD_Y
490001206B,NEW MALDEN STATION #_B
490006413N,EDERLINE AVENUE
490006413S,EDERLINE AVENUE
490004232N,BRAEMAR AVENUE
490004232S,BRAEMAR AVENUE
490015424N,SANDFIELD ROAD
490015424S,SANDFIELD ROAD
490015279N,BROOK ROAD
490015279S,BROOK ROAD
490015206J,NEW MALDEN / THE FOUNTAIN_J
490015449H,THORNTON HEATH CLOCK TOWER_H
490013314N,THE CRESCENT_S
490016652S,BEACONSFIELD ROAD / LEGACY YOUTH ZONE_Q
490001128M,HACKNEY DOWNS STATION # / DALSTON LANE_M
490001128N,HACKNEY DOWNS STATION #_N
490010900N,PEMBURY ROAD / DOWNS PARK ROAD_H
490010900S,PEMBURY ROAD / DOWNS PARK ROAD_K
490000144O,MARBLE ARCH STATION <>_O
490015206K,NEW MALDEN / THE FOUNTAIN_K
490005768J,CRICKETFIELD ROAD_J
490010589S,OLIVER ROAD_P
490010589N,OUR LADY & ST GEORGE'S CATHOLIC SCHOOL_S
490003107S,ADDISON ROAD_N
490003107N,ADDISON ROAD_T
490004453S,BROOKFIELD AVENUE_M
490005272N,CHURCH LANE_U
490011812N,RUSSELL GARDENS_Q
490001343D,WOOD STREET STATION #_L
490005912S,WOOD STREET MARKET_K
490005912N,WOOD STREET MARKET_W
490014866S,WOODLANDS ROAD
490014907N,FOREST ROAD / WOOD STREET LIBRARY
490006934S,FOREST ROAD / WOOD STREET LIBRARY
490005415N,CLIFFORD ROAD
490014062S,VICTORIA ROAD
490014062N,VICTORIA ROAD
490011369S,QUEENSWOOD AVENUE
490011369N,QUEENSWOOD AVENUE
490007120S,GARNER ROAD / NORTH ARM_WL
490007120N,GARNER ROAD / NORTH ARM_WM
490014112W,WADHAM ROAD_WK
490014112E,WADHAM ROAD_WN
490013102S,SWANAGE ROAD_WJ
490013102N,SWANAGE ROAD_WP
490007663S,HALDAN ROAD_WH
490007663N,HALDAN ROAD_WQ
490008137C,HIGHAMS PARK STATION #_WG
490008137D,HIGHAMS PARK STATION #_WR
490008129N,HICKMAN AVENUE_WS
490008128S,HICKMAN AVENUE_WF
490006381S,EAST VIEW_WE
490006381N,EAST VIEW_WT
490008980S,LARKSHALL CRESCENT_WD
490008980N,LARKSHALL CRESCENT_WU
490008979S,ST ANNE'S PARISH CHURCH_HT
490008979N,ST ANNE'S PARISH CHURCH_HU
490005174W,HATCH LANE_HS
490013707K,TONSLEY STREET_K
490013707J,TONSLEY STREET_J
490012212W,SWANDON WAY_TB
490005061S,CHELMSFORD ROAD_F
490007811C,HARLINGTON CORNER_E
490012623S,ST AUBYN'S SCHOOL_E
490012623N,ST AUBYN'S SCHOOL_R
490008145E,HIGHBURY NEW PK / HIGHBURY GROVE SCHOOL_CS
490008145W,HIGHBURY NEW PK / HIGHBURY GROVE SCHOOL_CR
490007537E,CANONBURY STATION >LOL<_CQ
490007537W,CANONBURY STATION >LOL<_CP
3700167,GALLEYMEAD ROAD
490008788U,CROSSWAY / KINGSLAND HIGH STREET_U
490012019W,SHACKLEWELL LANE / KINGSLAND HIGH STREET_W
490012019X,SHACKLEWELL LANE_X
490011581S,RIDLEY ROAD MARKET_P
490011581N,RIDLEY ROAD MARKET_N
490011562S,RICHMOND ROAD_V
490011562N,RICHMOND ROAD_J
3700168,GALLEYMEAD ROAD
490004382W,BROADWAY MARKET_LM
490004382E,BROADWAY MARKET_LN
40004405125A,WEST MOLESEY WAR MEMORIAL
490013813W,TROWBRIDGE ESTATE_Q
490014264E,RUCKHOLT ROAD BRIDGE_T
490012390S,SPITALFIELDS MARKET_K
490012390N,SPITALFIELDS MARKET_U
490010590H,OLIVER ROAD_H
490010590G,OLIVER ROAD_G
490008813N,KINGS ROAD
490015564F,FRANCIS ROAD_P
490009136C,LEYTON HIGH ROAD / LEYTON STATION <>_C
490006988E,FRANCIS ROAD_R
490004868W,CENTRAL AVENUE
490004918N,CENTRAL AVENUE
490003455S,ASHVILLE ROAD
490007738S,HAMPTON ROAD_BB
490007738E,HAMPTON ROAD_AE
490000144P,MARBLE ARCH STATION <>_P
490008813S,KINGS ROAD
490005357S,CLARENDON ROAD
490005357N,CLARENDON ROAD
490012642S,ELIM PENTECOSTAL CHURCH
490012642N,ELIM PENTECOSTAL CHURCH
490004577N,BULWER ROAD
490004577W,BULWER ROAD
490013553E,THE SIDINGS_ER
490013553W,THE SIDINGS_WL
490008738E,KING EDWARD ROAD_EQ
490013891N,TYSOE STREET_CH
490008501O,THE CITY ACADEMY_O
490008501P,THE CITY ACADEMY_P
490006082A,BANISTER HOUSE_A
490008556E,WICK LANE_OE
490013891S,FINSBURY TOWN HALL_UD
490010552N,OLD FORD ROAD_OB
490013779N,TREDEGAR ROAD_P
490013779S,TREDEGAR ROAD_Q
490009786W,MEDWAY ROAD_C
490009910J,ST CHAD'S ROAD_J
490009910K,ST CHAD'S ROAD_K
490013654S,THURLOE GARDENS_C
490013483N,BRENTWOOD ROAD_J
490000253K,WARWICK AVENUE STATION <>_K
490007851W,HARROW LODGE PARK_Z
490007851E,HARROW LODGE PARK_W
490013926W,UPMINSTER WINDMILL_N
490013926E,UPMINSTER WINDMILL_P
490012679N,STEWART AVENUE_Q
490012679S,STEWART AVENUE_T
490007147N,GAYNES PARK ROAD
490007147S,GAYNES PARK ROAD
490000253H,WARWICK AVENUE STATION <>_H
490005715S,CRANSTON PARK AVENUE
490005715N,CRANSTON PARK AVENUE
490003612H,BARKINGSIDE HIGH STREET_H
490003612P,BARKINGSIDE HIGH STREET_P
490010055W2,MOSSFORD LANE
490010055E2,MOSSFORD LANE
490003715W,BEAMINSTER GARDENS
490003715E,BEAMINSTER GARDENS
490003919W,BERKELEY AVENUE_CQ
490003919E,BERKELEY AVENUE_CR
490010168E,THE NELSON HEALTH CENTRE_MU
490011795W,RUSHDEN GARDENS_CS
490011795E,CATERHAM AVENUE_CP
490005636W,COUCHMORE AVENUE_CT
490005636E,COUCHMORE AVENUE_CN
490005368N,CLAYBURY BROADWAY_CL
490013798S,TRINITY AVE / BUSH HILL PARK STATION_A
490006398J,BETHNAL GRN RD / SHOREDITCH HIGH ST STN #_J
490006398K,SHOREDITCH HIGH STREET STATION #_K
490010168W,THE NELSON HEALTH CENTRE_MF
490011087E,POLLARD ROW_SG
490003638W,BARNET GROVE_SD
490012204E,SMART STREET_HC
490012204W,BONNER STREET_HD
490012461S,ALICE LANE_A
490013198E,CASSLAND CRESCENT_E
490008671E,GASCOYNE ROAD_F
490005241E,CHRISTIE ROAD_G
490003270B,ALPHA ROAD_B
490003270A,ALPHA ROAD_A
490005169N,RIDGEWAY PARK_P
490005169S,RIDGEWAY PARK_Q
490006698N,FAIRBRIDGE ROAD_N
490009370E,WORLDS END HEALTH CENTRE_GD
490003695N,BAVARIA ROAD_M
490013692S,TOLLINGTON PARK_G
490008367S,SEVEN SISTERS ROAD_NS
490004015E,BIRCH WALK
490004015W,BIRCH WALK
490009370W,WORLDS END HEALTH CENTRE_GH
490006280S,DURY ROAD
490012553B,ST PANCRAS INTERN'L & KING'S X STNS<>#_T
490006280N,DURY ROAD
490012424C,ST ALBANS ROAD_C
490012424B,ST ALBANS ROAD_B
490007215E,GLEBE LANE
490011744E,ROWLEY GREEN ROAD
490011744W,ROWLEY GREEN ROAD
490011379E1,QUINTA DRIVE
490011379W,QUINTA DRIVE
490007117E,GARDEN CLOSE
490007117W,GARDEN CLOSE
490013231E2,GALLEY LANE_K
490014253E,WARWICK ROAD_C
490014253W,WARWICK ROAD_S
490006313N,VICTORIA ROAD_BS
490010193C,NEW BARNET SAINSBURY'S_C
490010193B,NEW BARNET SAINSBURY'S_B
490006313E,VICTORIA ROAD_BA
490005744N,CRESCENT ROAD_BQ
490006315E,EAST BARNET VILLAGE_BB
490003861W,BELMONT AVENUE_BE
490003861E,BELMONT AVENUE
490008042W,HEDDON COURT AVENUE_L
490008042N,HEDDON COURT AVENUE_N
490008908P,LAKEDALE ROAD_D
490009060A,LEE GREEN_J
490004422S,BROMLEY HILL CEMETERY_DC
490011075E2,PLUMSTEAD CORNER / CHURCH MANORWAY_J
490004422N,BROMLEY HILL CEMETERY_DF
490007999S,WARNER ROAD
490014230N,WARNER ROAD
490006765S2,FARWIG LANE
490006765N2,FARWIG LANE
490004419B,BROMLEY MAGISTRATES COURT_F
490012309S,SOUTHLANDS ROAD_BA
490012309W,SOUTHLANDS ROAD_BV
490013856S,BROMLEY COMMON / TURPINGTON LANE_BL
490013856N,BROMLEY COMMON / TURPINGTON LANE_BT
490004413N,BROMLEY BUS GARAGE_BP
490004413S,BROMLEY BUS GARAGE_BN
490010752S,LAKESIDE DRIVE
490008913N,LAKESIDE DRIVE
490006753E,FARNBOROUGH HIGH STREET / CHURCH ROAD_D
490012089E,FARNBOROUGH HILL / SHIRE LANE_H
490012089W,FARNBOROUGH HILL / SHIRE LANE_J
490004139E,BOLTON'S LANE_BK
490012176W,NENE ROAD_BM
490010226H,NEWLANDS PARK_H
490008019W,HEATHROW PARK THISTLE HOTEL_J
3700156,CROWN CLOSE
3700155,CROWN CLOSE
490012633S,ST BARNABAS CHURCH_Y
490003261E,ALMINGTON STREET_D
490003261W,ALMINGTON STREET_E
490010226G,NEWLANDS PARK_G
490000162B,NORTHOLT STATION <>_B
490007803X,HARLESDEN JUBILEE CLOCK_X
490006754W,FARNBOROUGH GREEN_C
490009930W,MILTON CRESCENT_ER
490009930E,DENHAM DRIVE_EE
490000154B,NEWBURY PARK STATION <>_NB
490003696W,BAWDSEY AVENUE
490009666KN,MARKHAM STREET_KN
490003696E,BAWDSEY AVENUE
490008747E,KING GEORGE CLOSE_NH
490010764N,ROMFORD BUS GARAGE
490013240S,THE AVENUE_J
490003157W,ALBERT ROAD_VE
490003157E,ALBERT ROAD_VG
490009579W,MANOR ROAD
490016649E,MANOR ROAD
490006714W,FAIRHOLME AVENUE_AR
490006714E,FAIRHOLME AVENUE_AS
490013327W,THE DRILL ROUNDABOUT_AP
490004465N,KINFAUNS AVENUE_AE
490004465S,BROOKLANDS GARDENS_AD
490014125E,WALDEN WAY_ES
490014125S,WALDEN WAY_EP
490014973N,WYKEHAM AVENUE_EC
490013801E,TRINITY CHURCH_WR
490014973S,BURNTWOOD AVENUE_EK
490001098B,EMERSON PARK STATION #_EL
490004623D,BURNWAY_EA
490004623S,BURNWAY_EM
490011359C,QUEEN'S THEATRE_C
490011359D,QUEEN'S THEATRE_D
490006068H,DEVONSHIRE ROAD_H
490006068K,DEVONSHIRE ROAD_K
490001098A,EMERSON PARK STATION #_EB
490013801W,TRINITY CHURCH_WP
490009305W,LONGFIELD AVENUE_J
490009305E2,LONGFIELD AVENUE_YY
490007907E,HAVELOCK ROAD_AB
490007989S,HEATHER GARDENS
490007989N,HEATHER GARDENS
490010973W,PETTITS LANE
490010973E,PETTITS LANE
490003445W,ASHMOUR GARDENS_NL
490003445E,ASHMOUR GARDENS_NK
490007918W,NORTH STREET_NM
490007918E,HAVERING ROAD_NJ
490011667HE,ROM VALLEY WAY_HE
490015408E1,OLDCHURCH RISE_HC
490015408E,OLDCHURCH RISE_HB
490005834S,CROW LANE_G
490005834N,CROW LANE_F
490011798S2,NORWOOD AVENUE_H
490011798N2,NORWOOD AVENUE_E
490004570S,BULL LANE
490004570N,BULL LANE
490004929S,WOODSHIRE ROAD
490003410N,WOODSHIRE ROAD
490000129R,KING'S CROSS STATION <> #_R
490003762E,MORRIS ROAD_E
490010704N,OXLOW LANE
490014063S,VICTORIA ROAD_A
490014063N,VICTORIA ROAD_R
490011497S,REEDE ROAD_B
490011497N,REEDE ROAD_P
490000058B,DAGENHAM EAST STATION <>_C
490000058A,DAGENHAM EAST STATION <>_N
490003762C,MORRIS ROAD_C
490009581S,ALDBOROUGH ROAD_D
490011908N,SANDOWN AVENUE_M
490003566E,BALLARDS ROAD_E
490003566N1,BALLARDS ROAD_K
490009126E,LEYS AVENUE_F
490015012E,YORK ROAD_A
490015012W,YORK ROAD_N
490013640E,THOROGOOD WAY_B
490003389S,ARRAGON GARDENS_CJ
490010335E,NORTH CIRCULAR ROAD_H
490003389N,ARRAGON GARDENS_CK
490011527E,RENWICK ROAD_K
490010042E,DAGENHAM LEISURE PARK_N
490010042W,DAGENHAM LEISURE PARK_F
490006347N,EASTFIELD ROAD_G
490006347S,EASTFIELD ROAD_D
490005557N,CONNOR ROAD_J
490005557S,CONNOR ROAD_B
490005381W,CLAYTON ROAD_L
490005381E,CLAYTON ROAD_B
490009090W,LEONARD AVENUE_K
490014271N,WATERLOO BRIDGE / SOUTH BANK_N
490009090E,LEONARD AVENUE_C
490010443W,NORWOOD AVENUE_RU
490010443E,NORWOOD AVENUE_RW
490010782S,PARKLANDS SCHOOL_NQ
490010782N,PARKLANDS SCHOOL_NC
490007655N,HAINAULT ROAD_ND
490007655S,HAINAULT ROAD_NP
490010106S,MOWBRAYS ROAD_EJ
490008215N,HILLFOOT ROAD_EK
490008420S,HULSE AVENUE_EH
490014275M,WATERLOO ROAD_M
490008420N,LOWSHOE LANE_EL
490006777W,FELSTEAD ROAD_ES
490009018E,FELSTEAD ROAD_ER
490003843W,BELLE VUE ROAD_EQ
490003843E,BELLE VUE ROAD_CA
490007954W,HAYES STREET_U
490014275L,WATERLOO ROAD_L
490004724N,HAYES ROAD / CAMERON ROAD_F
490004724S,CAMERON ROAD_U
490007930S,HAYBURN WAY_RH
490007302S,GORDON AVENUE_RJ
490007302N,GORDON AVENUE_RS
490005142S,CHESTNUT AVENUE_RK
490005142N,CHESTNUT AVENUE_RR
490008892S,LABURNUM AVENUE_RL
